antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'curd'}),frozenset({'sausage'}),0.03368308494285905,0.06034886052262247,0.0029405867807257902,0.08730158730158731,1.446615338641917,1.0,0.0009078509855375443,1.0295308136882573,0.31949273494331937,0.032281731474688186,0.02868375894691685,0.06801402731635289
frozenset({'detergent'}),frozenset({'yogurt'}),0.008621265788946068,0.08587850030074183,0.0010693042839002875,0.12403100775193798,1.4442614544686756,1.0,0.00032892290725150737,1.043554632400038,0.3102795941755427,0.011444921316165953,0.041736801359281185,0.06824118480982114
frozenset({'sugar'}),frozenset({'bottled water'}),0.01771035220209851,0.06068301811134131,0.0014702933903628951,0.0830188679245283,1.368074141800349,1.0,0.00039557576692471775,1.0243580255164384,0.2738962629423916,0.019113814074717635,0.023778820402327778,0.05362397140719807
frozenset({'white bread'}),frozenset({'canned beer'}),0.023992514870012697,0.04691572545612511,0.0015371249081066632,0.06406685236768803,1.3655730939853503,1.0,0.0004114986674631483,1.0183251623846759,0.27428756862324805,0.022157996146435453,0.01799539386983493,0.048415192565610395
frozenset({'brown bread'}),frozenset({'canned beer'}),0.03762614448974136,0.04691572545612511,0.0024059346387756467,0.06394316163410303,1.3629366489046777,1.0,0.0006406767739224465,1.0181906006986747,0.27670138888888896,0.02929210740439382,0.01786561444015733,0.057612606458077156
frozenset({'canned beer'}),frozenset({'brown bread'}),0.04691572545612511,0.03762614448974136,0.0024059346387756467,0.05128205128205129,1.3629366489046775,1.0,0.0006406767739224465,1.0143940639162186,0.2793983591613492,0.02929210740439382,0.014189814814814823,0.057612606458077156
frozenset({'chewing gum'}),frozenset({'yogurt'}),0.012029673193878232,0.08587850030074183,0.001403461872619127,0.11666666666666667,1.358508430609598,1.0,0.0003703715796208294,1.0348545279614243,0.2671118369555764,0.01454293628808864,0.033680606326460985,0.06650453955901427
"frozenset({'rolls/buns', 'whole milk'})",frozenset({'sausage'}),0.013967787208447505,0.06034886052262247,0.0011361358016440553,0.08133971291866028,1.3478251654506244,1.0,0.0002931957595917866,1.022849417451937,0.2617196532944206,0.015525114155251141,0.022338984665854465,0.05008292401193258
"frozenset({'rolls/buns', 'sausage'})",frozenset({'whole milk'}),0.005346521419501437,0.15792287642852368,0.0011361358016440553,0.2125,1.345593525179856,1.0,0.0002917977601896749,1.0693042839002875,0.25821406974400324,0.007007419620774939,0.06481250000000001,0.10984712230215828
frozenset({'sliced cheese'}),frozenset({'sausage'}),0.014034618726191272,0.06034886052262247,0.0011361358016440553,0.08095238095238094,1.3414069503770498,1.0,0.0002891625536489528,1.022418338291447,0.25813692927859133,0.015510948905109486,0.021926776400460597,0.049889258028792904
frozenset({'processed cheese'}),frozenset({'rolls/buns'}),0.01015839069705273,0.11000467820624206,0.0014702933903628951,0.14473684210526316,1.315733516659206,1.0,0.0003528228906403267,1.0406099147127017,0.2424303803683995,0.012387387387387387,0.03902510838935592,0.07905128861034726
frozenset({'candy'}),frozenset({'citrus fruit'}),0.014368776314910112,0.05313105660629553,0.0010024727661565194,0.06976744186046512,1.3131197893813076,1.0,0.0002390444984058318,1.0178841141482322,0.2419311093029563,0.015075376884422108,0.01756989219072131,0.0443176831943835
frozenset({'packaged fruit/vegetables'}),frozenset({'rolls/buns'}),0.00848760275345853,0.11000467820624206,0.0012029673193878234,0.14173228346456695,1.2884205087972755,1.0,0.0002692913097512037,1.0369670263101582,0.22577214583146116,0.010256410256410258,0.035649182059045985,0.07633394246132358
frozenset({'seasonal products'}),frozenset({'rolls/buns'}),0.007084140880839404,0.11000467820624206,0.0010024727661565194,0.14150943396226415,1.2863946903872165,1.0,0.00022318412819209666,1.0366978473641575,0.22422202777590816,0.008635578583765112,0.035398788043655365,0.07531121758866549
frozenset({'frozen meals'}),frozenset({'sausage'}),0.016774710953685757,0.06034886052262247,0.0012697988371315912,0.07569721115537849,1.2543270991339184,1.0,0.00025746414548030207,1.0166053276242317,0.20621905497839213,0.01674008810572687,0.0163340946314316,0.04836909284236256
frozenset({'herbs'}),frozenset({'yogurt'}),0.010559379803515338,0.08587850030074183,0.0011361358016440553,0.10759493670886075,1.2528739595133722,1.0,0.00022931210001221614,1.0243347301594523,0.20398911337584674,0.011921458625525946,0.023756619240728426,0.06041225434664827
frozenset({'cat food'}),frozenset({'tropical fruit'}),0.011829178640646929,0.0677671589921807,0.0010024727661565194,0.08474576271186442,1.250543242068666,1.0,0.00020084293646889094,1.0185506966566915,0.20274584066008394,0.012755102040816327,0.018212835863332666,0.04976933106007422
frozenset({'oil'}),frozenset({'soda'}),0.014903428456860256,0.09710619528169484,0.001804450979081735,0.12107623318385649,1.246843549298035,1.0,0.000357235744983095,1.0272720329192961,0.2009698979848234,0.01637355973317162,0.02654801459141708,0.06982923840885874
frozenset({'specialty chocolate'}),frozenset({'tropical fruit'}),0.015972732740760543,0.0677671589921807,0.0013366303548753592,0.08368200836820083,1.2348460465615279,1.0,0.0002542036356926291,1.01736826027794,0.19326949198587337,0.016220600162206004,0.017071753617706582,0.051702937122956434
frozenset({'sliced cheese'}),frozenset({'root vegetables'}),0.014034618726191272,0.06957160997126245,0.0012029673193878234,0.08571428571428572,1.2320296418279126,1.0,0.00022655629927386789,1.0176560515939317,0.19101199755981826,0.014598540145985401,0.01734972397233566,0.05150267599835323
"frozenset({'whole milk', 'sausage'})",frozenset({'soda'}),0.008955423377664907,0.09710619528169484,0.0010693042839002875,0.11940298507462688,1.2296124333596987,1.0,0.00019967719255850386,1.0253200833241771,0.18842302245599854,0.010184595798854236,0.024694808709966105,0.06520734250290187
frozenset({'grapes'}),frozenset({'sausage'}),0.01443560783265388,0.06034886052262247,0.0010693042839002875,0.07407407407407408,1.2274311964234446,1.0,0.000198131800248182,1.0148232306355678,0.18800433986573542,0.014505893019038985,0.014606711975133036,0.045896394733604046
frozenset({'frozen vegetables'}),frozenset({'sausage'}),0.028002405934638777,0.06034886052262247,0.0020717770500568067,0.07398568019093078,1.2259664813919129,1.0,0.00038186376000943546,1.0147263593840752,0.18962702721885086,0.024012393493415954,0.014512641016849024,0.054157845632563956
frozenset({'sausage'}),frozenset({'bottled beer'}),0.06034886052262247,0.04531176903027468,0.003341575887188398,0.05537098560354374,1.2220000849348451,1.0,0.0006070622579470671,1.0106488541215264,0.19333712660028446,0.03265839320705421,0.010536650863550923,0.06455864914395476
frozenset({'bottled beer'}),frozenset({'sausage'}),0.04531176903027468,0.06034886052262247,0.003341575887188398,0.07374631268436578,1.2220000849348451,1.0,0.0006070622579470671,1.0144641282892708,0.19029191459572978,0.03265839320705421,0.01425790019176139,0.06455864914395476
frozenset({'onions'}),frozenset({'whipped/sour cream'}),0.02024994987636169,0.043707812604424245,0.0010693042839002875,0.05280528052805281,1.2081428326318873,1.0,0.0001842232694552867,1.009604643835747,0.17584413369713514,0.01700318809776833,0.009513272244129865,0.03863505616616708
